,bib,name,surname,t_bike,t_run,t_swim,t_tranzit_1,t_tranzit_2,total_time
31,36,Евгений,Бураков,0 days 00:56:34.000000000,0 days 00:30:10.000000000,0 days 00:18:03.000000000,0 days 00:03:42.000000000,0 days 00:02:01.000000000,0 days 01:50:30.000000000
32,38,Антон,Гуцало,0 days 00:42:39.000000000,0 days 00:24:05.000000000,0 days 00:10:28.000000000,0 days 00:02:25.000000000,0 days 00:01:03.000000000,0 days 01:20:40.000000000
33,39,Юрій,Чепурний,0 days 00:48:51.000000000,0 days 00:25:31.000000000,0 days 00:15:49.000000000,0 days 00:02:42.000000000,0 days 00:01:03.000000000,0 days 01:33:56.000000000
34,40,Ваня,Ширяев,0 days 00:40:56.000000000,0 days 00:25:13.000000000,0 days 00:16:27.000000000,0 days 00:02:10.000000000,0 days 00:01:03.000000000,0 days 01:25:49.000000000
35,43,Віталій,Демидишин,0 days 00:38:50.000000000,0 days 00:30:02.000000000,0 days 00:16:40.000000000,0 days 00:03:05.000000000,0 days 00:01:09.000000000,0 days 01:29:46.000000000
36,44,Артем,Тищук,0 days 00:41:52.000000000,0 days 00:25:45.000000000,0 days 00:12:53.000000000,0 days 00:02:02.000000000,0 days 00:01:12.000000000,0 days 01:23:44.000000000
37,46,Андрій,Степасюк,0 days 00:41:16.000000000,0 days 00:22:19.000000000,0 days 00:20:48.000000000,0 days 00:02:07.000000000,0 days 00:01:02.000000000,0 days 01:27:32.000000000
38,48,Микола,Сучок,0 days 00:37:33.000000000,0 days 00:27:44.000000000,0 days 00:22:09.000000000,0 days 00:03:32.000000000,0 days 00:01:59.000000000,0 days 01:32:57.000000000
39,49,Дмитрий,Твердохлеб,0 days 00:40:06.000000000,0 days 00:29:06.000000000,0 days 00:13:59.000000000,0 days 00:02:09.000000000,0 days 00:01:05.000000000,0 days 01:26:25.000000000
40,50,Ростислав,Мищенко,0 days 00:37:50.000000000,0 days 00:22:19.000000000,0 days 00:14:12.000000000,0 days 00:01:24.000000000,0 days 00:01:07.000000000,0 days 01:16:52.000000000
41,51,Тарас,Третяк,0 days 00:45:08.000000000,0 days 00:22:24.000000000,0 days 00:14:24.000000000,0 days 00:02:42.000000000,0 days 00:01:19.000000000,0 days 01:25:57.000000000
42,52,Роман,Халандач,0 days 00:44:05.000000000,0 days 00:26:37.000000000,0 days 00:14:32.000000000,0 days 00:02:32.000000000,0 days 00:01:34.000000000,0 days 01:29:20.000000000
43,53,Серей,Климович,0 days 00:55:18.000000000,0 days 00:28:57.000000000,0 days 00:22:27.000000000,0 days 00:03:47.000000000,0 days 00:01:14.000000000,0 days 01:51:43.000000000
44,54,Андрей,Поляновский,0 days 00:43:15.000000000,0 days 00:26:39.000000000,0 days 00:13:43.000000000,0 days 00:01:54.000000000,0 days 00:01:04.000000000,0 days 01:26:35.000000000
45,55,Павел,Павлишин,0 days 00:42:32.000000000,0 days 00:35:03.000000000,0 days 00:22:21.000000000,0 days 00:02:04.000000000,0 days 00:01:44.000000000,0 days 01:43:44.000000000
46,56,Владимир,Нужин,0 days 00:42:52.000000000,0 days 00:29:05.000000000,0 days 00:16:28.000000000,0 days 00:03:28.000000000,0 days 00:01:16.000000000,0 days 01:33:09.000000000
47,58,Александр,Ткаченко,0 days 00:38:37.000000000,0 days 00:24:57.000000000,0 days 00:17:57.000000000,0 days 00:02:09.000000000,0 days 00:01:38.000000000,0 days 01:25:18.000000000
48,59,Янчин,Василь,0 days 00:42:19.000000000,0 days 00:26:45.000000000,0 days 00:15:15.000000000,0 days 00:02:04.000000000,0 days 00:01:01.000000000,0 days 01:27:24.000000000
49,60,Сергій,Козак,0 days 00:45:59.000000000,0 days 00:27:52.000000000,0 days 00:23:38.000000000,0 days 00:02:40.000000000,0 days 00:01:48.000000000,0 days 01:41:57.000000000
50,61,Іван,Скляр,0 days 00:47:34.000000000,0 days 00:24:51.000000000,0 days 00:19:02.000000000,0 days 00:03:10.000000000,0 days 00:01:36.000000000,0 days 01:36:13.000000000
51,62,Олег,Самулік,0 days 00:49:56.000000000,0 days 00:29:34.000000000,0 days 00:16:34.000000000,0 days 00:02:23.000000000,0 days 00:01:01.000000000,0 days 01:39:28.000000000
52,64,Вiктор,Чорний,0 days 00:43:35.000000000,0 days 00:26:57.000000000,0 days 00:26:16.000000000,0 days 00:03:03.000000000,0 days 00:00:59.000000000,0 days 01:40:50.000000000
53,65,Євген,Остапович,0 days 00:47:28.000000000,0 days 00:31:56.000000000,0 days 00:18:09.000000000,0 days 00:02:37.000000000,0 days 00:02:07.000000000,0 days 01:42:17.000000000
54,69,Олег,Мінич,0 days 00:40:51.000000000,0 days 00:26:38.000000000,0 days 00:19:30.000000000,0 days 00:02:42.000000000,0 days 00:01:03.000000000,0 days 01:30:44.000000000
55,70,Сергей,Куроедов,0 days 00:41:47.000000000,0 days 00:28:53.000000000,0 days 00:17:19.000000000,0 days 00:02:44.000000000,0 days 00:01:19.000000000,0 days 01:32:02.000000000
56,71,Олександр,Кочин,0 days 00:49:35.000000000,0 days 00:29:01.000000000,0 days 00:25:05.000000000,0 days 00:02:42.000000000,0 days 00:01:57.000000000,0 days 01:48:20.000000000
57,74,Антон,Радько,0 days 00:40:24.000000000,0 days 00:24:46.000000000,0 days 00:20:38.000000000,0 days 00:02:10.000000000,0 days 00:01:07.000000000,0 days 01:29:05.000000000
58,75,Вадим,Медиченко,0 days 00:41:27.000000000,0 days 00:26:01.000000000,0 days 00:18:08.000000000,0 days 00:02:43.000000000,0 days 00:01:20.000000000,0 days 01:29:39.000000000
59,76,Антон,Маєвський,0 days 00:49:34.000000000,0 days 00:30:31.000000000,0 days 00:15:54.000000000,0 days 00:04:20.000000000,0 days 00:01:24.000000000,0 days 01:41:43.000000000
60,77,Юрій,Савчук,0 days 00:43:57.000000000,0 days 00:33:31.000000000,0 days 00:20:22.000000000,0 days 00:02:41.000000000,0 days 00:02:12.000000000,0 days 01:42:43.000000000
61,80,Анатолий,Нисковский,0 days 00:42:36.000000000,0 days 00:24:26.000000000,0 days 00:16:40.000000000,0 days 00:02:23.000000000,0 days 00:01:07.000000000,0 days 01:27:12.000000000
62,81,Олександр,Крамар,0 days 00:44:10.000000000,0 days 00:23:42.000000000,0 days 00:16:25.000000000,0 days 00:04:00.000000000,0 days 00:01:09.000000000,0 days 01:29:26.000000000
63,82,Андрей,Стрелюк,0 days 00:42:02.000000000,0 days 00:24:08.000000000,0 days 00:15:44.000000000,0 days 00:02:15.000000000,0 days 00:01:44.000000000,0 days 01:25:53.000000000
64,83,Віталій,Новицький,0 days 00:51:30.000000000,0 days 00:25:29.000000000,0 days 00:18:58.000000000,0 days 00:03:44.000000000,0 days 00:01:35.000000000,0 days 01:41:16.000000000
