,bib,brackets,gender,name,surname,t_bike,t_run,t_swim,t_tranzit_1,t_tranzit_2,total_time
59,76,ALL; M; M3039,M,Антон,Маєвський,0 days 01:09:48.000000000,0 days 01:41:43.000000000,0 days 00:15:54.000000000,0 days 00:20:14.000000000,0 days 01:11:12.000000000,0 days 01:41:43.000000000
60,77,ALL; M; M3039,M,Юрій,Савчук,0 days 01:07:00.000000000,0 days 01:42:43.000000000,0 days 00:20:22.000000000,0 days 00:23:03.000000000,0 days 01:09:12.000000000,0 days 01:42:43.000000000
61,80,ALL; M; M4049,M,Анатолий,Нисковский,0 days 01:01:39.000000000,0 days 01:27:12.000000000,0 days 00:16:40.000000000,0 days 00:19:03.000000000,0 days 01:02:46.000000000,0 days 01:27:12.000000000
62,81,ALL; M; M4049,M,Олександр,Крамар,0 days 01:04:35.000000000,0 days 01:29:26.000000000,0 days 00:16:25.000000000,0 days 00:20:25.000000000,0 days 01:05:44.000000000,0 days 01:29:26.000000000
63,82,ALL; M; M3039,M,Андрей,Стрелюк,0 days 01:00:01.000000000,0 days 01:25:53.000000000,0 days 00:15:44.000000000,0 days 00:17:59.000000000,0 days 01:01:45.000000000,0 days 01:25:53.000000000
64,83,ALL; M; M3039,M,Віталій,Новицький,0 days 01:14:12.000000000,0 days 01:41:16.000000000,0 days 00:18:58.000000000,0 days 00:22:42.000000000,0 days 01:15:47.000000000,0 days 01:41:16.000000000
65,84,ALL; M; M3039,M,Роман,Гаврилюк,0 days 00:59:10.000000000,0 days 01:18:34.000000000,0 days 00:13:45.000000000,0 days 00:16:03.000000000,0 days 01:00:18.000000000,0 days 01:18:34.000000000
66,87,ALL; M; M3039,M,Віталій,Рожок,0 days 00:55:29.000000000,0 days 01:20:56.000000000,0 days 00:17:23.000000000,0 days 00:19:57.000000000,0 days 00:56:49.000000000,0 days 01:20:56.000000000
67,88,ALL; M; M1829,M,Олексій,Печенюк,0 days 01:03:05.000000000,0 days 01:32:11.000000000,0 days 00:23:38.000000000,0 days 00:25:53.000000000,0 days 01:05:02.000000000,0 days 01:32:11.000000000
68,89,ALL; M; M4049,M,Дмитро,Богданов,0 days 01:00:15.000000000,0 days 01:30:07.000000000,0 days 00:17:56.000000000,0 days 00:20:30.000000000,0 days 01:01:53.000000000,0 days 01:30:07.000000000
69,90,ALL; M; M4049,M,Андрій,Грицай,0 days 01:32:41.000000000,0 days 02:17:18.000000000,0 days 00:25:34.000000000,0 days 00:29:08.000000000,0 days 01:33:53.000000000,0 days 02:17:18.000000000
70,91,ALL; F; F1835,F,Вікторія,Поврозник,0 days 01:03:52.000000000,0 days 01:42:04.000000000,0 days 00:16:42.000000000,0 days 00:18:54.000000000,0 days 01:05:26.000000000,0 days 01:42:04.000000000
71,94,ALL; F; F1835,F,Оксана,Андрощук,0 days 01:24:58.000000000,0 days 02:00:38.000000000,0 days 00:33:45.000000000,0 days 00:35:55.000000000,0 days 01:26:15.000000000,0 days 02:00:38.000000000
72,95,ALL; F; F1835,F,Юлія,Руднік-Гриньків,0 days 01:09:51.000000000,0 days 01:41:09.000000000,0 days 00:20:50.000000000,0 days 00:25:01.000000000,0 days 01:11:23.000000000,0 days 01:41:09.000000000
73,97,ALL; F; F36,F,Наталія,Приймачук,0 days 01:07:46.000000000,0 days 01:36:59.000000000,0 days 00:17:53.000000000,0 days 00:21:32.000000000,0 days 01:09:57.000000000,0 days 01:36:59.000000000
74,98,ALL; F; F36,F,Олександра,Пальченко,0 days 01:45:46.000000000,0 days 02:24:29.000000000,0 days 00:28:54.000000000,0 days 00:33:35.000000000,0 days 01:47:27.000000000,0 days 02:24:29.000000000
75,30247,ALL; F; F1835,F,Катя,Макарук,0 days 01:03:31.000000000,0 days 01:30:37.000000000,0 days 00:15:29.000000000,0 days 00:17:53.000000000,0 days 01:04:43.000000000,0 days 01:30:37.000000000
76,31292,ALL; F; F36,F,Аня,Ткаченко,0 days 01:04:08.000000000,0 days 01:34:41.000000000,0 days 00:18:56.000000000,0 days 00:21:06.000000000,0 days 01:05:45.000000000,0 days 01:34:41.000000000
77,31403,ALL; F; F36,F,Олена,Гуцало,0 days 01:16:43.000000000,0 days 01:49:52.000000000,0 days 00:20:28.000000000,0 days 00:23:27.000000000,0 days 01:17:54.000000000,0 days 01:49:52.000000000
78,31081,ALL; F; F1835,F,Мария,Петрущенкова,0 days 01:14:00.000000000,0 days 01:50:36.000000000,0 days 00:22:41.000000000,0 days 00:26:07.000000000,0 days 01:15:43.000000000,0 days 01:50:36.000000000
79,30323,ALL; F; F36,F,Наталія,Візер,0 days 01:15:48.000000000,0 days 01:52:14.000000000,0 days 00:20:46.000000000,0 days 00:23:49.000000000,0 days 01:17:05.000000000,0 days 01:52:14.000000000
80,30194,ALL; F; F1835,F,Олена,Шикова,0 days 01:15:39.000000000,0 days 01:58:41.000000000,0 days 00:26:36.000000000,0 days 00:29:17.000000000,0 days 01:17:26.000000000,0 days 01:58:41.000000000
81,30413,ALL; M; M4049,M,Олег,Шинкаренко,0 days 01:30:02.000000000,0 days 02:09:08.000000000,0 days 00:24:25.000000000,0 days 00:29:29.000000000,0 days 01:31:38.000000000,0 days 02:09:08.000000000
82,30387,ALL; F; F1835,F,Євгенія,Нікітчук,0 days 01:22:02.000000000,0 days 02:09:53.000000000,0 days 00:24:15.000000000,0 days 00:27:38.000000000,0 days 01:23:55.000000000,0 days 02:09:53.000000000
